Listing No.,Price,Superhost,Host listings count,Host identity verified,Distance,Accommodation type 1,Accommodation type 2,Accommodation type 3,Accommodation type 4,Entire home/apartment,Private room,Shared room,Accommodates,Bathrooms,Bedrooms,Real bed,Wireless Internet,Breakfast,Free parking,Instant bookable,Cancellation policy (Moderate plus strict),Smoking allowed,Required guest's profile picture,Required guest's phone verification,Reviews per year,Review scores for overall rating
101,80.00,0,1,1,6.841825386,0,0,1,0,1,0,0,6,1,3,1,1,0,1,1,1,0,0,0,30.12,91
102,36.00,1,1,1,2.022835626,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,37.8,95
103,45.00,0,2,1,2.279140318,1,0,0,0,0,1,0,2,1,1,1,1,0,1,0,1,0,1,1,3,89
104,30.00,1,2,1,3.14192684,1,0,0,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,25.32,94
105,30.00,1,2,1,8.421186371,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,49.08,98
106,39.00,1,1,0,11.29166614,0,0,1,0,0,1,0,4,1.5,2,1,1,1,1,0,1,1,0,0,19.68,98
107,40.00,0,2,0,5.41933387,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1.2,100
108,500.00,0,19,1,2.605414703,0,0,1,0,1,0,0,12,3,4,1,1,0,0,0,1,0,0,0,0.24,40
109,64.00,1,2,1,6.844496096,0,0,0,1,1,0,0,5,1,1,1,1,0,1,0,1,0,0,0,23.4,99
110,30.00,0,3,0,5.507187385,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,1,0,0,5.16,86
111,32.00,0,3,0,5.527297138,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,1,0,0,2.52,93
112,170.00,0,22,0,4.251843577,0,0,1,0,1,0,0,16,2,5,1,1,0,1,0,1,0,0,0,19.32,90
113,40.00,0,1,1,21.27779732,0,0,1,0,0,1,0,3,1.5,1,1,1,1,1,0,1,0,0,0,0.48,100
114,30.00,0,2,1,3.08124305,0,0,1,0,0,1,0,2,2.5,1,1,1,1,0,0,1,0,1,1,3.48,84
115,30.00,0,2,0,6.191164199,0,1,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,11.64,89
116,20.00,1,2,1,3.30568452,0,0,1,0,0,1,0,3,1,1,1,1,0,0,1,1,1,0,0,9.6,98
117,150.00,0,1,1,0.502280773,1,0,0,0,1,0,0,4,1,2,1,1,0,0,1,0,0,0,0,6.12,84
118,24.00,1,2,1,8.489918948,0,0,1,0,0,1,0,2,1,1,1,1,0,0,0,1,0,0,0,12.96,98
119,39.00,1,1,1,0.845322566,1,0,0,0,0,1,0,2,2,1,1,1,1,0,0,1,0,0,0,50.16,97
120,29.00,1,2,0,4.037873213,0,0,1,0,0,1,0,2,1.5,1,1,1,0,0,0,0,0,0,0,14.52,97
121,29.00,1,2,0,4.229130774,0,0,1,0,0,1,0,2,1.5,1,1,1,0,0,0,1,0,0,0,6.48,96
122,57.00,0,2,1,7.359821027,1,0,0,0,1,0,0,2,1,1,1,1,0,0,0,1,0,0,0,2.28,90
123,500.00,0,4,1,3.861456447,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0.24,80
124,44.00,1,2,1,5.214468727,0,0,1,0,0,1,0,2,1,1,1,1,1,0,0,1,0,0,0,16.08,98
125,40.00,0,1,0,1.581537095,1,0,0,0,1,0,0,4,1,2,1,1,0,0,0,1,0,0,0,18,90
